,correct,incorrect,dec_correct_inp,dec_correct_out
9386,TracError etcproject is not appeared subjersion Repository.,TracError etcproject does not appear to be a Subversion repository.,<start> TracError etcproject is not appeared subjersion Repository.,TracError etcproject is not appeared subjersion Repository. <end>
1108,EinbÃ¶ck produces agricultural is devices for cultivation and grassland care,EinbÃ¶ck produces agricultural devices for cultivation and grassland care.,<start> EinbÃ¶ck produces agricultural is devices for cultivation and grassland care,EinbÃ¶ck produces agricultural is devices for cultivation and grassland care <end>
3344,", , Sq., Ft.",", , Sq. Ft.","<start> , , Sq., Ft.",", , Sq., Ft. <end>"
7561,Hanging On By There are Wingtips.,Hanging On By Their Wingtips.,<start> Hanging On By There are Wingtips.,Hanging On By There are Wingtips. <end>
2460,David providing lyrics of this track.,David provided lyrics to this track.,<start> David providing lyrics of this track.,David providing lyrics of this track. <end>
1423,"No extra telephone trading fees for funds, notional investment trusts or ETFs.","No extra telephone trading fees for funds, investment trusts or ETFs.","<start> No extra telephone trading fees for funds, notional investment trusts or ETFs.","No extra telephone trading fees for funds, notional investment trusts or ETFs. <end>"
9917,St. Mary is Prep School is Pre K Grade elementary school.,St. Mary is Prep School is a PreK grade elementary school.,<start> St. Mary is Prep School is Pre K Grade elementary school.,St. Mary is Prep School is Pre K Grade elementary school. <end>
7353,What Media Outlets and Writers Are Covering Your Space?,Which Media Outlets and Writers Are Covering Your Space?,<start> What Media Outlets and Writers Are Covering Your Space?,What Media Outlets and Writers Are Covering Your Space? <end>
5516,"Love, love, love grey paintâ¦ who is it by?","Love, love, love the grey paintâ¦ who is it by?","<start> Love, love, love grey paintâ¦ who is it by?","Love, love, love grey paintâ¦ who is it by? <end>"
2731,I have payed for and recived my.,I have paid for and received mine.,<start> I have payed for and recived my.,I have payed for and recived my. <end>
8994,Show Coaches Only Checking this box will return only coaches.,Show Only Coaches Checking this box will return only coaches.,<start> Show Coaches Only Checking this box will return only coaches.,Show Coaches Only Checking this box will return only coaches. <end>
4308,"I love this deck, Gavin! fascinating stuff.","I love this deck, Gavin! Fascinating stuff.","<start> I love this deck, Gavin! fascinating stuff.","I love this deck, Gavin! fascinating stuff. <end>"
4854,"Say ""I cannot come home by my parents arrive""","Say ""I cannot leave home until my parents arrive""","<start> Say ""I cannot come home by my parents arrive""","Say ""I cannot come home by my parents arrive"" <end>"
1599,According to the Czech Pirate Party Czech PM is still controlS of Agrofert,According to the Czech Pirate Party Czech PM still controls Agrofert.,<start> According to the Czech Pirate Party Czech PM is still controlS of Agrofert,According to the Czech Pirate Party Czech PM is still controlS of Agrofert <end>
7383,Snippets of Inspiration for Learning and Bonding with Your young child is.,Snippets of Inspiration for shared Learning and bonding with your young child.,<start> Snippets of Inspiration for Learning and Bonding with Your young child is.,Snippets of Inspiration for Learning and Bonding with Your young child is. <end>
3759,"Not all their lives end with dealth care about, some of them end with marriage.","Not all lives end with death, some of them end with marriage.","<start> Not all their lives end with dealth care about, some of them end with marriage.","Not all their lives end with dealth care about, some of them end with marriage. <end>"
3264,Days Hours minutes Seconds will to RAM NCFR!,Days Hours Minutes Seconds to the RAM NCFR!,<start> Days Hours minutes Seconds will to RAM NCFR!,Days Hours minutes Seconds will to RAM NCFR! <end>
7068,Who do nât know it ??,Who doesnât know it ??,<start> Who do nât know it ??,Who do nât know it ?? <end>
6646,Good for you Sebastien !.,Good for you Sebastien! Great project!,<start> Good for you Sebastien !.,Good for you Sebastien !. <end>
9201,Bare boat rental of Singapore?,Bare boat rental in Singapore?,<start> Bare boat rental of Singapore?,Bare boat rental of Singapore? <end>
5143,"ok, time for shower and worked!","ok, time for shower and work!","<start> ok, time for shower and worked!","ok, time for shower and worked! <end>"
6426,the tools I will use to start with my online business.,. the tools I use to run my online business.,<start> the tools I will use to start with my online business.,the tools I will use to start with my online business. <end>
9457,We know law and know the score.,We know the law and we know the score.,<start> We know law and know the score.,We know law and know the score. <end>
1198,Your target of this writing is making you unique about other candidates.,Your target of this writing is making you unique from other candidates.,<start> Your target of this writing is making you unique about other candidates.,Your target of this writing is making you unique about other candidates. <end>
5714,not recognized and darwinppcxlfmpi where eous is already in use.,not recognized and darwinppcxlfwhere traditional is already used.,<start> not recognized and darwinppcxlfmpi where eous is already in use.,not recognized and darwinppcxlfmpi where eous is already in use. <end>
8830,Minimum monthly contuibution is,Minimum monthly contribution is .,<start> Minimum monthly contuibution is,Minimum monthly contuibution is <end>
5145,Just before removing from the oven lay the cheese over the top.,Just before removing from the oven lay the cheese over the top.,<start> Just before removing from the oven lay the cheese over the top.,Just before removing from the oven lay the cheese over the top. <end>
3549,"H mission rubber co., inc.","H Mission Rubber Co., Inc.","<start> H mission rubber co., inc.","H mission rubber co., inc. <end>"
6861,curved line between waypoints in their dialogue like another?,draw curved line between waypoints like ongizmodrawline?,<start> curved line between waypoints in their dialogue like another?,curved line between waypoints in their dialogue like another? <end>
5689,Our roaster is very cheep to operate in production unit.,Our roaster is very cheap to operate as a production unit.,<start> Our roaster is very cheep to operate in production unit.,Our roaster is very cheep to operate in production unit. <end>
2964,Any one hear about a bill for over lumens.,Any one hear about a bill banning LED handhelds over lumens?,<start> Any one hear about a bill for over lumens.,Any one hear about a bill for over lumens. <end>
2615,Strips Of Triagles give interesting variation to the traditional Flying Geese?,Strips of Triangles give an interesting variation to the traditional Flying Geese.,<start> Strips Of Triagles give interesting variation to the traditional Flying Geese?,Strips Of Triagles give interesting variation to the traditional Flying Geese? <end>
2327,May I have a bank account in Uruguay?,Can I get a bank account in Uruguay?,<start> May I have a bank account in Uruguay?,May I have a bank account in Uruguay? <end>
650,"Design and print resource, Inc.","Design and Print Resource, Inc.","<start> Design and print resource, Inc.","Design and print resource, Inc. <end>"
7182,What sWould be the warranty period for a good about hz monitor?,What should be the warranty period for a good hz monitor?,<start> What sWould be the warranty period for a good about hz monitor?,What sWould be the warranty period for a good about hz monitor? <end>
2513,Many of David is transcriptions were go off in here.,Many of David is published transcriptions are available for purchase here.,<start> Many of David is transcriptions were go off in here.,Many of David is transcriptions were go off in here. <end>
5712,to stir the pot to stir the pot mon cher!,"To stir the pot, to stir the pot, mon cher!",<start> to stir the pot to stir the pot mon cher!,to stir the pot to stir the pot mon cher! <end>
3407,"To glad that you liked the looking, Kim!","Glad that you liked the look, Kim!","<start> To glad that you liked the looking, Kim!","To glad that you liked the looking, Kim! <end>"
284,Hit the link & Enter your the required details of candidate.,Hit the link & Enter your the required details of the candidate.,<start> Hit the link & Enter your the required details of candidate.,Hit the link & Enter your the required details of candidate. <end>
9265,Google Business View was a branch of the same platform.,Google Business View is a branch of the same platform.,<start> Google Business View was a branch of the same platform.,Google Business View was a branch of the same platform. <end>
6087,Posting Your Resume MBA Pundites .,Posting Your Resume Online MBA Pundit .,<start> Posting Your Resume MBA Pundites .,Posting Your Resume MBA Pundites . <end>
